Provinsi,row,col
Aceh,1,1
Kalimantan Utara,2,5
Gorontalo,2,8
Sumatera Utara,2,1
Riau,2,2
Sulawesi Utara,2,9
Kepulauan Riau,2,3
Sulawesi Tengah,3,8
Kalimantan Timur,3,5
Kalimantan Barat,3,4
Jambi,3,2
Sumatera Barat,3,1
Papua Barat Daya,3,12
Papua,4,13
Sulawesi Barat,4,7
Kalimantan Tengah,4,4
Kalimantan Selatan,4,5
Bengkulu,4,1
Kepulauan Bangka Belitung,4,2
Sulawesi Tenggara,4,8
Maluku Utara,4,10
Papua Barat,4,12
Papua Tengah,5,12
Papua Pegunungan,5,13
Maluku,5,10
Sulawesi Selatan,5,7
Sumatera Selatan,5,1
Lampung,5,2
Papua Selatan,6,13
Banten,6,3
Jawa Tengah,6,5
Daerah Khusus Ibukota Jakarta,6,4
Jawa Timur,6,6
Jawa Barat,7,4
Daerah Istimewa Yogyakarta,7,5
Bali,7,7
Nusa Tenggara Barat,7,8
Nusa Tenggara Timur,7,9
